rent,area,yearc,location
476.6263123,72,1972,0
621.5775146,70,1971,0
315.4159851,55,1971,0
665.3441772,82,1996,0
398.9610596,74,1972,0
499.4810486,83,1972,0
419.3104553,107,1972,1
533.5330811,55,1959,0
398.0918579,65,1957,0
385.2584229,65,1974,0
511.7520447,45,1991,0
791.888916,78,1986,0
317.563385,29,1974,0
277.4781189,31,1963,0
383.7756653,84,1962,1
622.0377197,82,1995,1
408.5733337,48,1983,0
508.8887939,53,1993,0
518.8590088,66,1971,1
599.3875122,62,1984,0
601.074707,68,1971,0
595.4505005,63,1929,1
449.8345947,57,1995,1
902.0211182,100,1994,0
868.4292603,85,1995,0
528.7780151,53,1971,0
733.9594727,100,1972,0
835.9622192,90,1991,0
509.9625244,57,1970,0
364.8578796,62,1962,0
496.0042419,98,1918,0
536.703064,54,1988,1
381.9350281,57,1996,0
345.7355652,72,1951,1
312.399353,47,1957.5,0
687.8410034,76,1964,1
416.6006165,108,1956,1
558.842041,85,1957.5,1
336.7368164,52,1957.5,1
561.8075562,79,1918,1
523.6651001,79,1957.5,1
207.4822388,30,1956,1
515.4844971,60,1990,0
423.2985535,50,1979,0
911.3266602,65,1984,1
532.6127319,72,1958,1
489.204071,66,1957.5,1
414.5043335,93,1955,0
593.2008057,70,1964,0
382.0884094,66,1957.5,0
419.9240112,101,1959,0
1006.017883,140,1957.5,2
580.8787231,75,1968,1
708.0370483,79,1962,0
790.7640381,105,1980,0
845.012085,117,1980,0
382.0884094,54,1995,1
384.59375,82,1929,1
327.7380981,55,1918,1
389.8600464,71,1957.5,1
702.0037231,98,1957.5,1
616.6691284,72,1918,1
344.3039551,62,1929,1
255.236908,29,1971,1
549.2808838,61,1969,0
217.4013214,94,1929,0
650.6188965,74,1948,2
276.864563,39,1968,0
481.023407,63,1968,0
132.2200775,46,1954,0
625.1054688,88,1971,1
473.5073853,44,1957.5,0
306.0081787,68,1929,1
479.6429138,83,1957.5,1
306.723999,76,1918,1
1146.111938,140,1929,1
508.8887939,100,1935,1
245.1644592,30,1959,1
479.0293884,100,1968,0
253.600769,45,1936,0
389.6044006,73,1955,0
248.9991455,51,1954,0
360.9720764,79,1969,0
488.5393982,67,1973,1
76.84716797,39,1949,0
332.1863403,56,1969,1
381.1169739,58,1939,0
415.7825623,45,1996,1
506.4346008,52,1918,0
296.3447571,41,1994,0
542.1228027,105,1973,0
476.1661377,73,1960,0
640.0863037,73,1960,0
459.1401062,110,1954,0
513.8483276,110,1960,0
588.8548584,64,1961,0
417.2652893,60,1963,0
297.6741333,30,1972,0
148.0701294,60,1952,0
542.5317993,101,1957,0
433.8311462,80,1929,0
482.3016357,110,1963,0
394.4105835,50,1973,0
428.2580566,82,1954,0
263.8265991,40,1970,0
406.8349609,75,1994.5,0
180.1792603,87,1966,0
375.850647,55,1971,0
521.0064087,70,1972,0
640.1885376,80,1984,1
343.1279602,71,1957.5,0
470.3885193,69,1971,0
528.6246948,84,1968,0
631.8033447,76,1956,0
478.0579224,92,1955,0
491.9650574,67,1960,0
232.5866699,80,1958,0
144.1331787,50,1957,1
624.6964722,70,1939,1
618.8165894,65,1972,0
367.3632202,60,1972,0
462.1567383,67,1965,0
591.5136108,69,1929,1
353.4560852,28,1959,1
421.6624146,86,1970,0
377.4867859,63,1962,0
546.8778076,62,1994.5,1
790.0993652,88,1982,0
520.3928833,90,1994.5,1
751.0366821,65,1956,0
594.5813599,75,1972,0
408.7267456,76,1967,0
624.1851807,66,1937,1
605.1650391,49,1971,1
494.4703674,80,1918,2
370.8911438,82,1964,0
306.3149414,59,1940,0
347.1160583,62,1954,1
247.6186523,57,1936,0
281.7729492,29,1983,0
397.7339783,48,1967,0
452.4933167,50,1972,0
335.9187622,90,1950,0
238.1086426,23,1972,1
352.6891479,30,1973,0
370.1242065,76,1918,0
364.0398254,26,1957.5,0
252.0668945,50,1918,0
472.4848022,85,1973,1
250.839798,38,1955,0
391.3939209,87,1936,1
888.3185425,85,1939,0
200.9377136,32,1973,0
440.3757019,48,1962,0
284.8406982,39,1958,0
538.9016724,80,1965,1
355.5523987,42,1957.5,1
291.3852539,82,1918,0
296.0891113,35,1960,0
710.3378296,81,1955,2
830.8493042,81,1918,1
273.745697,53,1961,1
698.7314453,85,1918,1
624.2362671,77,1957.5,1
403.2559204,137,1939,0
538.7994385,56,1918,1
436.8478088,80,1918,1
438.5861816,44,1957.5,1
172.6121368,65,1956,1
444.9773254,110,1924,0
731.7097778,120,1918,1
327.8403625,32,1983,0
453.0046082,48,1983,0
611.6585083,74,1939,1
569.9370117,74,1973,0
732.3233643,100,1981,1
389.9111633,61,1918,0
505.2586365,92,1939,0
405.8123779,60,1964,0
283.4602356,38,1959,1
596.1663208,95,1957.5,0
293.6349182,54,1918,0
252.6293182,33,1957.5,1
355.756897,82,1969,1
490.2778015,55,1984,0
370.5332336,40,1958,1
332.493103,93,1929,0
617.6917114,76,1918,0
418.4924011,63,1950,0
592.1782227,85,1997,0
376.9243774,56,1963,0
338.4752197,58,1972,0
355.1944885,32,1972,0
381.1169739,30,1968,2
213.668869,28,1970,2
552.0418091,63,1991,0
652.9708252,60,1918,1
376.4130859,84,1935,2
463.2815552,65,1957.5,0
501.4750671,105,1929,2
499.6344299,77,1939,0
663.8103027,85,1996,0
383.7756653,70,1929,0
222.2585907,47,1929,0
511.6497803,80,1972,1
590.6443481,77,1962,0
550.8147583,111,1954,0
378.6627502,58,1962,0
463.0770569,82,1954,0
483.5287476,73,1973,0
512.4678345,70,1973,0
496.7200623,98,1959,0
302.4802551,65,1961,0
849.3069458,105,1975,0
484.4490662,63,1982,0
508.4797668,76,1955,1
284.6873169,79,1939,0
343.5881348,109,1924,0
587.5255127,64,1918,0
793.2182617,78,1972,1
463.7928467,110,1957.5,2
384.0824585,61,1969,0
506.3834839,70,1991,0
299.2591248,80,1918,0
387.0990601,48,1972,0
373.7032471,83,1929,0
425.2414551,48,1972,0
500.4524841,69,1957.5,0
501.7307129,40,1964,0
555.1607666,54,1984,0
822.0039063,107,1969,1
551.8884888,126,1957,0
549.8944092,55,1957.5,1
872.6218262,128,1929,0
355.1944885,89,1980,1
406.221405,110,1918,1
279.4721375,28,1969,1
237.5973358,35,1918,0
598.1604004,54,1918,1
234.9897461,53,1957.5,0
258.1512756,95,1918,0
659.3108521,123,1929,0
506.2812195,56,1939,0
974.2666626,92,1994.5,1
1330.994995,132,1995,1
572.3401489,58,1957.5,1
926.5631104,95,1976,2
1165.489868,100,1967,2
730.1248169,80,1970,1
289.3912048,28,1992,1
432.7062988,80,1973,0
688.3010864,65,1965,0
531.02771,46,1991,1
503.5202332,79,1991,0
424.269989,56,1988,0
523.1027222,75,1972,0
297.3162231,49,1957.5,1
409.2891541,75,1957.5,1
417.3675537,74,1929,1
341.0316772,31,1929,1
163.6645355,45,1918,0
364.8578796,75,1959,1
383.3666382,60,1957.5,1
265.0537109,49,1959,1
458.0664063,101,1918,1
490.8913269,80,1929,1
302.0201111,35,1929,1
370.8911438,138,1918,1
673.6270752,84,1918,1
168.4706726,30,1970,0
465.2756042,58,1970,1
274.76828,85,1964,1
450.6526794,50,1957.5,1
178.2874908,56,1956,0
375.850647,62,1962,1
354.6320496,52,1969,0
336.9924622,64,1963,1
197.1541595,22,1958,0
497.4869995,86,1962,0
239.8470306,52,1960,1
525.4035034,51,1971,0
167.7548676,60,1939,0
367.4654846,54,1959,0
344.355072,47,1971,0
186.161377,48,1918,0
796.6950073,84,1970,0
372.731781,50,1957.5,1
130.4305573,49,1953,0
406.7326965,55,1957.5,0
445.2841187,58,1971,1
535.5270996,64,1972,0
569.4257202,70,1940,1
354.683197,63,1961,0
696.2772827,85,1970,1
303.093811,45,1972,1
218.0659943,50,1965,1
626.2814331,60,1992,0
255.9015808,64,1929,0
413.6862488,74,1957.5,0
221.9006805,30,1956,0
525.6591797,76,1971,0
396.2001038,50,1929,0
508.7354126,64,1972,0
192.7570343,55,1939,1
241.1252594,79,1918,1
882.1830444,137,1918,0
653.4821167,145,1929,1
505.6165466,56,1957.5,0
464.8154297,102,1918,1
319.8130798,34,1971,0
260.8611145,30,1918,0
431.2235718,64,1972,0
366.545166,59,1973,1
641.4156494,77,1957,1
477.2398682,55,1957.5,0
429.3317871,44,1984,1
203.0340118,49,1918,1
538.6971436,48,1955,0
410.1583557,56,1969,0
1368.421509,155,1918,1
413.7885132,118,1918,0
361.3811035,71,1956,1
982.9586182,160,1918,1
348.496521,36,1959,1
424.3211365,93,1918,0
582.565979,63,1991,0
575.1011353,89,1960,1
273.8990784,67,1918,1
709.1107178,59,1924,1
664.6794434,63,1957.5,1
622.3956299,77,1972,0
751.4456787,88,1964,0
187.9508972,70,1957.5,0
339.0887756,57,1939,0
865.7705688,49,1988,1
306.775116,33,1939,0
473.763031,88,1983,0
621.270752,78,1955,0
521.4666138,76,1977,0
589.6217651,102,1970,0
403.0513916,74,1970,0
438.4328003,64,1958,0
610.942688,55,1983,0
415.7825623,73,1969,0
642.84729,65,1967,0
772.2041626,98,1966,0
416.4472351,55,1955,0
467.6786804,110,1955,0
1256.755493,104,1918,0
370.7888794,81,1939,1
405.8634949,78,1936,1
355.1944885,35,1958,1
172.4587402,45,1939,1
483.8866577,55,1972,1
632.5703125,75,1973,1
528.2667236,42,1983,0
657.9815063,75,1955,1
312.399353,68,1965,0
212.6974182,22,1970,0
152.0070648,59,1952,0
648.7271729,57,1972,1
426.7753296,69,1963,1
376.6175842,66,1963,1
416.1915894,95,1929,0
908.8212891,108,1989,0
288.8287964,60,1950,0
307.746582,31,1929,0
879.3709106,130,1918,0
480.97229,56,1957.5,1
393.2857361,44,1973,0
272.6208496,58,1930,0
253.7030334,42,1974,1
243.1704254,78,1918,1
184.2695923,50,1929,1
668.8720093,74,1959,1
684.7732544,104,1957,1
614.010437,58,1959,1
478.6203308,90,1957.5,1
911.8890991,96,1929,1
581.4411011,63,1939,1
321.4492188,58,1956,1
505.8721924,68,1918,1
588.6503906,65,1957.5,1
703.69104,80,1929,1
454.1294556,55,1929,1
236.4724884,35,1975,0
379.5319519,88,1929,1
389.2464905,85,1958,1
344.355072,42,1952,0
1080.564209,96,1918,1
493.6011963,68,1972,0
1072.434692,110,1939,0
434.7514954,71,1918,1
631.8033447,108,1918,1
525.812561,92,1972,0
585.633728,57,1994.5,0
411.3343201,57,1958,0
593.7633057,57,1972,1
542.0716553,92,1963,0
417.9299927,75,1957.5,1
321.4492188,61,1957.5,1
729.7669067,89,1973,1
456.8904114,85,1957.5,0
857.5386963,95,1991,0
505.8210449,56,1983,0
454.4362183,44,1968,1
556.8479614,79,1957.5,0
673.4736328,76,1924,1
874.9226685,155,1918,2
438.1260376,97,1960,1
1233.133789,110,1990,0
318.9950256,78,1936,1
613.4991455,73,1993,0
773.1244507,78,1981,0
677.3083496,94,1939,1
689.1703491,72,1918,1
348.3942871,55,1956,1
651.4369507,89,1976,0
518.2454224,58,1980,1
483.0174561,55,1957.5,0
599.1829834,70,1972,0
360.0517578,57,1963,0
529.9540405,110,1965,0
638.1433716,102,1959,0
231.6663513,55,1960,0
591.7181396,71,1918,2
213.8733826,45,1957.5,0
504.184906,87,1971,0
567.2783203,76,1959,0
773.840271,152,1918,1
312.2459717,80,1957.5,1
334.5894165,54,1970,0
339.6000671,82,1969,1
618.0496216,80,1918,1
623.0603027,82,1962,0
474.7344971,87,1972,1
369.612915,73,1962,1
807.1253662,87,1930,0
659.3108521,80,1962,0
451.9309082,82,1939,0
468.598999,60,1966,1
489.817627,77,1929,1
356.1659241,81,1929,0
168.1127625,68,1918,0
335.9698792,52,1956,0
389.1953735,65,1957,0
450.3458862,85,1972,0
367.0564575,96,1936,2
652.8175049,69,1991,0
246.442688,30,1957.5,1
342.6678162,87,1918,1
372.3738708,57,1962,0
598.1092529,60,1972,1
279.2164917,40,1966,0
405.6589966,40,1967,0
357.6997986,38,1986,0
548.0026855,78,1971,0
288.9821777,30,1956,0
402.3867188,79,1929,0
230.0302124,82,1918,1
711.2581177,129,1918,1
695.970459,80,1958,1
343.4858704,35,1953,0
136.2592926,32,1972,0
411.947876,62,1971,0
293.0725098,46,1959,0
303.9118958,75,1956,1
201.3978729,45,1929,1
642.1826172,70,1918,0
264.1845093,29,1957,0
594.1723022,52,1961,0
716.3199463,69,1918,1
504.9518433,77,1960,0
467.9343262,60,1960,0
848.6422729,85,1992,0
612.1185913,76,1969,2
368.4880676,68,1960,0
645.0458374,66,1981,0
287.9595947,45,1971,0
555.1095581,108,1971,0
440.3757019,69,1971,0
569.7325439,83,1973,0
696.2261353,75,1918,0
542.2250366,47,1992,1
456.6859131,64,1959,0
534.1466064,52,1992,1
434.2913513,43,1972,0
316.3363037,81,1918,1
271.3937378,33,1983,0
782.9923706,84,1988,1
143.4173737,71,1957.5,1
410.6696472,51,1984,0
336.7368164,36,1968,0
816.1752319,120,1983,1
522.2335205,54,1984,0
438.1771545,99,1957.5,0
763.1031494,95,1980,0
580.2651978,111,1954,0
454.5384827,52,1966,0
566.7670288,102,1954,0
531.1811523,54,1957.5,1
514.4619141,58,1936,1
267.3033752,56,1918,0
265.462738,65,1929,0
632.5703125,74,1984,0
445.9999084,57,1986,0
435.9786072,80,1959,1
223.8435822,52,1957,0
203.136261,45,1939,0
669.8945923,58,1994,0
511.1384888,125,1918,1
334.538269,73,1918,1
416.8562622,96,1957,0
492.9364929,73,1965,0
297.4184875,65,1918,0
812.1360474,76,1983,0
616.1578369,62,1983,0
753.3886108,96,1929,0
417.9299927,75,1957.5,0
265.6161194,60,1957.5,1
171.640686,67,1918,1
684.3641968,75,1971,0
348.5987854,50,1957.5,0
234.2228088,36,1971,0
500.094574,60,1918,1
605.3695679,93,1961,1
404.6875305,93,1955,0
818.2715454,120,1929,1
894.4028931,89,1954,0
269.7064819,30,1959,0
137.5375214,36,1918,1
314.7001648,38,1960,0
777.4703979,69,1991,1
868.7360229,73,1972,2
181.4063568,84,1964,0
387.712616,64,1972,0
545.3950195,56,1956,1
426.3663025,60,1954,1
804.2109985,81,1918,1
474.3765869,50,1972,1
443.6990967,59,1981,0
390.2179565,30,1974,1
236.4213562,36,1960,0
283.5113525,26,1972,0
595.961792,74,1929,0
397.0692749,76,1970,0
436.1319885,49,1918,0
381.7304993,56,1957.5,1
828.3950806,85,1918,1
278.1939087,75,1957.5,0
403.1025391,56,1918,0
733.0391235,96,1967,1
238.671051,95,1918,0
259.5317688,78,1929,1
442.1141052,49,1971,0
265.3604736,38,1958,0
344.9174805,34,1984,1
412.9193115,29,1972,0
200.8865814,59,1957.5,0
612.3742676,69,1965,0
989.9121704,107,1972,0
226.7579498,65,1918,1
689.7327271,115,1955,1
380.7590637,45,1918,1
608.8463745,82,1984,1
663.6568604,85,1985,1
436.8989258,90,1939,1
1166.819214,110,1973,2
416.7539978,72,1970,0
569.8859253,72,1972,0
575.4589844,61,1937,1
662.94104,87,1972,1
398.7054138,82,1957.5,1
586.2984009,54,1957.5,1
582.8216553,97,1939,1
432.7062988,60,1957.5,1
474.785614,59,1957,1
282.1820068,86,1918,1
458.3731689,55,1918,1
91.82802582,39,1939,0
506.9970093,64,1918,0
411.385437,51,1957,1
376.9754944,80,1930,0
468.8035278,90,1918,1
379.2763062,60,1956,1
277.9894104,38,1929,1
318.5348511,65,1929,0
295.6800842,35,1967,0
652.8685913,130,1929,0
743.2138672,70,1991,1
341.6963501,55,1918,0
243.1192932,58,1961,1
568.9144287,120,1939,0
434.598114,51,1967,0
696.1749878,78,1959,1
357.5975647,61,1957.5,0
352.1267395,56,1959,0
792.6046753,95,1972,1
372.4761353,79,1924,2
540.5889282,70,1957.5,1
961.5355225,73,1991,1
570.9595947,79,1957.5,1
599.1829834,54,1984,1
543.1965332,120,1929,0
376.822113,33,1977,1
811.3690796,70,1991,2
725.1652832,130,1957.5,1
707.6279907,85,1918,1
941.1860962,86,1991,0
639.779541,67,1918,1
465.6335144,71,1939,1
410.4140015,80,1957.5,1
617.6917114,58,1991,1
201.6535187,32,1929,1
505.769928,56,1959,1
546.8778076,71,1983,0
306.723999,50,1959,1
510.4738159,70,1918,1
40.39205933,47,1918,1
726.6480103,90,1918,1
234.4784546,40,1958,0
394.359436,69,1918,0
449.8857422,77,1972,1
269.5019531,77,1918,0
270.115509,31,1939,1
753.3886108,86,1918,1
512.7746582,60,1918,1
300.2817078,58,1957.5,0
313.421936,39,1957,0
331.0614929,104,1918,0
549.2297363,78,1918,0
703.1797485,96,1918,0
518.1943359,82,1918,0
387.2013245,64,1966,1
394.359436,69,1973,1
244.0396118,48,1965,0
290.1581421,50,1924,0
499.8900757,59,1987,0
458.3731689,67,1984,0
467.3207703,89,1971,0
385.0027771,82,1960,0
411.2320557,55,1969,0
423.6053162,83,1970,0
245.3178406,59,1939,0
681.5009766,101,1979,0
401.7731628,55,1969,0
481.9437256,77,1975,0
399.2167053,50,1959,0
203.4430389,57,1918,0
539.9242554,62,1962,0
743.8274536,89,1981,1
877.9904175,87,1984,1
602.4552612,60,1963,1
372.9874268,35,1970,0
133.9584656,36,1931,0
633.644043,65,1929,0
760.7512207,77,1918,1
450.4481506,39,1985,1
668.8209229,83,1985,0
913.9853516,108,1918,0
214.5892029,31,1918,0
558.1773071,100,1961,0
722.3532104,80,1957.5,1
438.4839172,68,1956,0
492.7319946,75,1957.5,1
433.1153259,58,1953,1
357.6997986,55,1997,0
203.5964355,42,1939,0
441.8584595,84,1973,0
270.3200378,78,1957.5,1
579.4471436,80,1957.5,1
293.1747742,58,1957.5,1
406.6815796,71,1959,0
532.7150269,50,1969,0
368.1301575,58,1918,0
643.6653442,59,1939,2
354.2230225,55,1918,0
705.0203857,82,1959,0
343.7415161,52,1959,0
364.9090271,60,1957.5,1
279.0119934,62,1918,1
630.5762939,86,1980,1
658.1860352,70,1984,0
243.2726746,54,1966,1
177.1115112,53,1957.5,0
936.4821777,133,1961,2
546.8778076,75,1972,0
244.5509033,65,1954,1
184.2184601,51,1918,1
270.2688904,74,1939,0
374.4190369,86,1939,0
493.8056946,99,1962,0
444.2615356,100,1918,1
342.2076416,33,1972,0
493.3455505,83,1957.5,0
236.8815155,52,1924,0
452.2376709,108,1955,0
318.4837341,41,1982,1
512.5701294,115,1918,1
986.0263672,99,1991,0
452.5955811,65,1918,1
709.8776855,87,1981,0
595.5527954,66,1964,0
334.7939148,30,1959,1
623.9295044,60,1987,1
281.7218323,52,1918,0
209.9875793,47,1957.5,0
592.9451904,56,1984,1
680.1716309,80,1980,1
496.6689453,70,1965,1
503.5202332,56,1984,0
1252.767334,93,1939,1
230.5926361,54,1959,0
255.8504486,65,1957,0
386.5877686,70,1957.5,0
439.3531189,80,1972,0
587.6278076,110,1929,0
675.87677,84,1957.5,1
203.3407898,47,1938,1
321.8582458,24,1983,1
183.0424957,57,1956,1
146.4339905,34,1924,0
390.2690735,85,1963,1
376.2085571,64,1957.5,1
478.2113037,85,1967,0
392.365387,79,1956,0
266.0762939,47,1972,0
635.5869141,97,1971,0
581.1854858,61,1970,0
592.6384277,60,1939,0
461.6454468,50,1967,1
443.0855408,93,1953,0
853.4995728,80,1939,1
443.6990967,87,1972,0
557.3081665,105,1929,0
280.5458679,54,1929,1
855.2890625,90,1996,0
365.4714355,45,1929,0
277.2735901,56,1932,0
270.4734192,45,1939,0
462.3101196,66,1954,0
462.6680298,52,1918,0
411.1809387,69,1918,0
1019.36261,62,1984,1
422.224823,70,1918,1
380.8101807,54,1957.5,1
525.352417,56,1929,1
954.0195313,100,1929,1
281.7218323,76,1963,0
499.5321655,51,1972,0
319.608551,34,1952,0
493.856842,50,1962,1
602.9665527,61,1957.5,1
752.723877,88,1983,0
361.0231934,57,1924,0
262.9573975,74,1918,0
699.8051758,90,1924,1
640.802124,110,1962,1
421.3045044,50,1986,1
490.1755371,79,1955,1
813.567627,85,1930,1
269.1440735,63,1929,1
349.1612244,85,1918,0
901.8677368,87,1924,2
295.1176758,40,1973,0
355.8591614,24,1971,0
405.8634949,67,1957.5,1
232.7911835,72,1968,0
428.5137024,70,1918,1
272.160675,80,1957.5,0
1231.037476,132,1939,1
282.3353882,92,1918,0
426.7241821,102,1930,0
331.8795471,45,1929,0
345.8378296,86,1929,1
335.8676453,25,1965,0
463.7928467,73,1962,1
378.8161621,66,1959,0
578.7313232,62,1963,0
323.6477661,29,1961,0
186.2636261,69,1939,1
249.3570557,62,1929,0
622.293335,93,1955,0
578.0154419,74,1938,1
550.3034668,53,1996,0
382.6508484,34,1991,0
218.9863129,60,1956,0
321.4492188,103,1929,0
508.0707397,60,1962,0
597.2400513,56,1918,0
242.5568695,28,1918,1
513.5415649,90,1918,1
244.6531677,30,1957.5,0
435.0582886,91,1918,0
330.6524658,80,1971,0
269.1951904,73,1954,1
528.2156372,95,1971,0
527.3464355,87,1971,0
256.1061096,60,1965,0
215.3561401,60,1918,1
158.0914612,52,1986,1
251.4533386,62,1918,0
380.1966248,75,1918,1
187.7975006,38,1918,0
298.7989807,60,1957.5,0
569.0167236,91,1970,0
304.0141296,52,1968,0
647.9090576,69,1972,0
261.7814331,34,1960,0
830.6447754,74,1924,1
396.3023376,73,1967,0
277.887146,52,1918,1
533.5841675,65,1918,0
841.7909546,91,1918,1
591.9737549,67,1958,1
274.8705139,81,1918,1
411.4877014,29,1957.5,1
314.3422546,38,1965,0
510.882843,47,1994.5,0
655.4761963,77,1981,1
257.3843384,56,1918,1
539.770813,51,1982,0
573.3627319,68,1983,0
400.9551086,83,1960,0
499.4810486,77,1964,0
1228.532104,124,1997,1
338.8842468,70,1918,1
448.3518677,96,1941,0
330.4990845,37,1957.5,0
643.6142578,72,1970,1
676.0812988,125,1991,1
378.7138977,83,1929,0
719.7967529,141,1929,0
549.6387939,66,1972,0
875.6895752,93,1972,0
222.8209991,29,1969,1
556.2855835,64,1929,0
449.6812134,80,1962,0
390.8826294,43,1957.5,0
718.3139648,106,1972,1
593.354248,86,1968,0
332.1351929,73,1968,0
381.0147095,45,1992,0
397.1715393,84,1939,0
478.1090393,88,1968,0
353.2515869,39,1974,0
283.000061,40,1957.5,0
349.7747498,40,1968,0
471.2065735,97,1972,0
722.9667358,87,1963,1
384.3381042,65,1965,1
458.9355774,65,1963,0
579.0380859,62,1957.5,0
586.7585449,69,1918,2
339.3444214,36,1969,0
382.9064941,61,1960,0
378.918396,38,1994.5,0
396.5579834,44,1991,0
503.724762,62,1985,0
337.0436096,80,1974,0
364.1420898,76,1918,0
508.4286499,74,1957.5,1
403.1025391,94,1918,1
471.1554565,70,1957.5,1
256.1572266,37,1957.5,1
155.5350037,81,1972,1
330.0389099,37,1972,1
511.4452515,65,1956,1
556.4901123,93,1918,1
292.6123352,30,1971,1
791.7866211,68,1957.5,1
260.8611145,63,1918,1
414.453186,38,1929,0
512.3656006,67,1972,0
364.7044983,62,1957.5,1
372.0671082,78,1957.5,0
514.001709,104,1957.5,1
510.6783142,59,1986,0
608.2839355,101,1971,0
566.9204712,65,1972,0
485.6250305,102,1924,0
186.7749176,43,1957.5,1
297.2651062,45,1974,2
320.0687256,49,1965,0
258.9182129,56,1982,0
454.0783081,108,1955,0
305.3435059,40,1935,0
221.2360077,68,1957,0
725.0119019,103,1982,0
393.5924988,73,1954,1
334.8961792,75,1957.5,1
586.9630737,68,1957.5,1
685.1311035,68,1995,1
230.6437683,60,1957.5,0
299.7704163,48,1965,0
472.9449768,52,1972,0
943.0267334,98,1973,2
308.1556091,47,1972,0
319.3017883,76,1929,0
313.2685547,49,1972,0
509.7068787,54,1969,0
535.0158081,60,1972,1
596.4219971,68,1991,1
376.9243774,31,1972,0
228.5474701,47,1924,1
674.5474243,81,1969,1
555.4163818,68,1939,2
512.9280396,46,1969,0
445.6419983,78,1957.5,1
456.1234741,87,1963,0
417.6743469,107,1929,1
521.6199951,78,1961,0
630.4229126,85,1965,1
344.2016907,76,1987,0
281.7218323,31,1983,0
759.421875,90,1957.5,1
331.8795471,55,1970,0
418.2367554,108,1939,1
635.8936768,90,1918,0
364.2954712,58,1918,0
387.0990601,70,1929,1
256.9753113,39,1970,0
614.4705811,63,1992,0
267.3545227,48,1918,0
334.078125,70,1918,1
540.5377808,61,1918,1
1454.881104,154,1994,0
332.4419861,118,1918,0
379.6342163,74,1918,1
341.7986145,55,1934,1
357.3419189,55,1962,0
635.3312988,81,1969,0
756.814209,78,1929,0
788.5654907,92,1918,1
446.9713745,83,1972,0
270.3200378,79,1929,0
407.3973694,84,1962,1
395.944458,100,1918,1
433.1153259,76,1954,1
277.9894104,45,1918,1
1178.067627,105,1918,1
458.2709045,52,1918,0
511.0362244,38,1989,1
